doc_id,tone,textured,coverage_level,coverage_fraction,ml_occlusion_ratio
doc_14_2_0,acik_ten,False,0,0.0,0.0
doc_14_2_0,acik_ten,False,1,0.2,0.20041322314049587
doc_14_2_0,acik_ten,False,2,0.4,0.4049586776859504
doc_14_2_0,acik_ten,False,3,0.6,0.5909090909090909
doc_14_2_0,acik_ten,False,4,0.8,0.7696280991735537
doc_14_2_0,acik_ten,False,5,1.0,1.0
doc_14_2_0,acik_ten,True,0,0.0,0.0
doc_14_2_0,acik_ten,True,1,0.2,0.1859504132231405
doc_14_2_0,acik_ten,True,2,0.4,0.390495867768595
doc_14_2_0,acik_ten,True,3,0.6,0.5971074380165289
doc_14_2_0,acik_ten,True,4,0.8,0.8057851239669421
doc_14_2_0,acik_ten,True,5,1.0,1.0
doc_14_2_0,orta_ten,False,0,0.0,0.0
doc_14_2_0,orta_ten,False,1,0.2,0.1962809917355372
doc_14_2_0,orta_ten,False,2,0.4,0.4049586776859504
doc_14_2_0,orta_ten,False,3,0.6,0.6084710743801653
doc_14_2_0,orta_ten,False,4,0.8,0.7840909090909091
doc_14_2_0,orta_ten,False,5,1.0,1.0
doc_14_2_0,orta_ten,True,0,0.0,0.0
doc_14_2_0,orta_ten,True,1,0.2,0.2066115702479339
doc_14_2_0,orta_ten,True,2,0.4,0.3956611570247934
doc_14_2_0,orta_ten,True,3,0.6,0.5971074380165289
doc_14_2_0,orta_ten,True,4,0.8,0.8119834710743802
doc_14_2_0,orta_ten,True,5,1.0,1.0
doc_14_2_0,koyu_ten,False,0,0.0,0.0
doc_14_2_0,koyu_ten,False,1,0.2,0.2066115702479339
doc_14_2_0,koyu_ten,False,2,0.4,0.4049586776859504
doc_14_2_0,koyu_ten,False,3,0.6,0.5981404958677686
doc_14_2_0,koyu_ten,False,4,0.8,0.8274793388429752
doc_14_2_0,koyu_ten,False,5,1.0,1.0
doc_14_2_0,koyu_ten,True,0,0.0,0.0
doc_14_2_0,koyu_ten,True,1,0.2,0.2159090909090909
doc_14_2_0,koyu_ten,True,2,0.4,0.40702479338842973
doc_14_2_0,koyu_ten,True,3,0.6,0.6363636363636364
doc_14_2_0,koyu_ten,True,4,0.8,0.8264462809917356
doc_14_2_0,koyu_ten,True,5,1.0,1.0
doc_14_2_0,turkuaz,False,0,0.0,0.0
doc_14_2_0,turkuaz,False,1,0.2,0.042355371900826444
doc_14_2_0,turkuaz,False,2,0.4,0.04442148760330578
doc_14_2_0,turkuaz,False,3,0.6,0.09194214876033058
doc_14_2_0,turkuaz,False,4,0.8,0.0
doc_14_2_0,turkuaz,False,5,1.0,0.0
doc_14_2_0,turkuaz,True,0,0.0,0.0
doc_14_2_0,turkuaz,True,1,0.2,0.22004132231404958
doc_14_2_0,turkuaz,True,2,0.4,0.3977272727272727
doc_14_2_0,turkuaz,True,3,0.6,0.6322314049586777
doc_14_2_0,turkuaz,True,4,0.8,0.7975206611570248
doc_14_2_0,turkuaz,True,5,1.0,1.0
doc_14_2_0,lacivert,False,0,0.0,0.0
