doc_id,severity_level,niqe
doc_001,0,2.2231386058645475
doc_001,1,2.1968502061440716
doc_001,2,2.2748592903342613
doc_001,3,2.2046707553503007
doc_001,4,2.1524036341423196
doc_001,5,2.206213837797538
doc_002,0,1.889160209474285
doc_002,1,1.8722533483686195
doc_002,2,1.902711224732413
doc_002,3,1.9014657241501824
doc_002,4,1.8809836731423253
doc_002,5,1.9005585428592924
doc_003,0,2.1079636267259625
doc_003,1,2.083848229311488
doc_003,2,2.111668756036835
doc_003,3,2.095152236133361
doc_003,4,2.085726674267333
doc_003,5,2.097610473552974
doc_004,0,2.1053533344358644
doc_004,1,2.080464116526189
doc_004,2,2.100568575566073
doc_004,3,2.092415486430264
doc_004,4,2.0762856403334875
doc_004,5,2.0838515231231303
doc_005,0,1.375034028045713
doc_005,1,1.4058221305109697
doc_005,2,1.3999821768201584
doc_005,3,1.4045589725755439
doc_005,4,1.403026564560507
doc_005,5,1.4010964616052142
doc_006,0,1.539296846722522
doc_006,1,1.5502289481226086
doc_006,2,1.5559704321634424
doc_006,3,1.5600946973838166
doc_006,4,1.5555374931041617
doc_006,5,1.5544160773743105
doc_007,0,1.4248279292564514
doc_007,1,1.4406774315483044
doc_007,2,1.4380553642713902
doc_007,3,1.437125524392022
doc_007,4,1.4416656441531108
doc_007,5,1.4392101181524795
doc_008,0,1.4155337788692042
doc_008,1,1.4246893969056813
doc_008,2,1.4259357059928701
doc_008,3,1.424051024567915
doc_008,4,1.4242244732830114
doc_008,5,1.4239819128276126
doc_009,0,1.4317218412592956
doc_009,1,1.4398310645787464
doc_009,2,1.4363292904038114
doc_009,3,1.438715673986749
doc_009,4,1.4380718148265832
doc_009,5,1.4394823822937601
doc_010,0,1.4565812684748256
doc_010,1,1.4634663478077605
doc_010,2,1.4605086289965818
doc_010,3,1.4641804651272314
doc_010,4,1.4637355243855785
doc_010,5,1.4642851672846715
doc_011,0,1.4287351229315972
doc_011,1,1.4337766108657224
doc_011,2,1.4260663041291555
doc_011,3,1.4330806648639538
doc_011,4,1.4309135203422367
doc_011,5,1.4331201440393733
doc_012,0,1.4208062533302188
doc_012,1,1.4295064078552537
doc_012,2,1.424461265643907
doc_012,3,1.4263903042628034
doc_012,4,1.4286409942809057
doc_012,5,1.4261819284818134
